asn,cc,name,cone,unsigned_customers,impact_score
57344,BG,Telehouse EAD,178,14,2492
15994,HR,A1 Hrvatska d.o.o.,61,40,2440
20632,RU,PJSC MegaFon,61,40,2440
57724,RU,DDOS-GUARD LTD,84,29,2436
45903,VN,CMC Telecom Infrastructure Company,150,16,2400
263432,BR,CORPORATIVA TELECOMUNICACOES EIRELI ME,66,36,2376
5400,GB,British Telecommunications (International) ,64,37,2368
263276,BR,BBG TELECOM LTDA,75,31,2325
262847,BR,DBUG TELECOM LTDA,58,40,2320
30600,US,Metronet,64,36,2304
7385,US,Zayo (fka Allstream),64,36,2304
4515,HK,PCCW IMS Ltd (PCCW Business Internet Access),59,39,2301
34224,BG,Neterra Ltd.,164,14,2296
28189,BR,NOVVACORE,62,37,2294
33490,US,Comcast (Portland/Spokane),62,37,2294
6789,RU,CRELCOM LLC,62,37,2294
266931,BR,NOVELL INTERNET,62,37,2294
42473,AT,Anexia Cloud Solutions GmbH,87,26,2262
17762,IN,Tata Teleservices Maharashtra Ltd,141,16,2256
262503,BR,WIKI TELECOMUNICACOES EIRELI,68,33,2244
6424,PT,EDGOO NETWORKS,106,21,2226
52863,BR,UPX TECNOLOGIA LTDA,65,34,2210
268314,BR,SUPORTI TELECOM,71,31,2201
16019,CZ,Vodafone Czech Republic a.s.,137,16,2192
35753,SA,Etihad Salam Telecom CJSC,84,26,2184
52361,AR,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,167,13,2171
36994,ZA,Vodacom,62,35,2170
15924,TR,Vodafone Turkey,180,12,2160
133095,ID,PT Pusat Fiber Indonesia,196,11,2156
5089,GB,Virgin Media Limited,63,34,2142
55685,ID,PT Jala Lintas Media,124,17,2108
56630,LT,Melbikomas UAB,100,21,2100
8473,SE,Bahnhof AB,67,31,2077
8767,DE,M-net Telekommunikations GmbH,67,31,2077
35168,KZ,TNS-Plus LLP,90,23,2070
835,CA,GoCodeIT Inc,79,26,2054
35805,GE,"JSC ""Silknet""",76,27,2052
33668,US,"Comcast Cable Communications, LLC",62,33,2046
15305,US,"Syringa Networks, LLC",63,32,2016
12695,RU,LLC Digital Network,54,37,1998
45147,ID,PT NAP Info Lintas Nusa,133,15,1995
17408,TW,AboveNet Communications Taiwan,99,20,1980
22677,US,Charter Communications LLC,53,37,1961
45458,TH,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,89,22,1958
28198,BR,SEMPRE TELECOMUNICACOES LTDA,65,30,1950
47272,US,HYEHOST LLC,52,37,1924
29802,US,"HIVELOCITY, Inc.",91,21,1911
1853,AT,ACONET,51,37,1887
4847,CN,China Telecom Beijing Province Network,65,29,1885
52872,BR,VOANET Telecomunicações Ltda.,65,29,1885
138915,HK,Kaopu Cloud HK Limited,110,17,1870
25159,RU,PJSC MegaFon,55,34,1870
137366,ID,PT iForte Solusi Infotek,133,14,1862
262761,BR,Sinal Br Telecom Ltda,64,29,1856
8434,SE,Telenor Sverige AB,109,17,1853
15802,AE,Emirates Integrated Telecommunications Company PJSC,83,22,1826
58495,ID,PT Parsaoran Global Datatrans,130,14,1820
49063,RU,Data Storage Center JSC,52,35,1820
26801,US,"Zito Media, L.P.",52,35,1820
3204,EE,xTom OU,53,34,1802
8308,PL,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,75,24,1800
263703,VE,VIGINET C.A (vnet),84,21,1764
47605,FI,FNE-Finland Oy,76,23,1748
271493,BR,SPEED NET PEDRA,79,22,1738
39386,SA,Saudi Telecom Company JSC,69,25,1725
7470,TH,"TRUE INTERNET Co.,Ltd.",100,17,1700
25899,US,LS Networks,58,29,1682
201776,RU,Miranda-Media Ltd,69,24,1656
7725,US,"Comcast Cable Communications, LLC",59,28,1652
44901,BG,Belcloud LTD,150,11,1650
54113,US,"Fastly, Inc.",54,30,1620
33660,US,"Comcast Cable Communications, LLC",57,28,1596
43727,RU,JSC KVANT-TELEKOM,57,28,1596
1759,FI,Telia Finland Oyj,55,29,1595
719,FI,Elisa Oyj,59,27,1593
5713,ZA,Telkom SA Ltd.,56,28,1568
17451,ID,Biznet Networks,81,19,1539
28173,BR,Dinamica Telecomunicacoes Ltda,56,27,1512
262191,CO,LIBERTY NETWORKS DE COLOMBIA S.A.S,58,26,1508
13876,US,"FiberLight, LLC",52,29,1508
8437,AT,Hutchison Drei Austria GmbH,53,28,1484
31042,RS,Yettel d.o.o.,53,27,1431
6697,BY,Beltelecom,51,28,1428
41095,GB,IPTP LTD,57,25,1425
64315,ID,PT Mitra Visioner Pratama,141,10,1410
12310,RO,iNES GROUP SRL,70,20,1400
196844,PL,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",70,20,1400
10099,HK,China Unicom Global,107,13,1391
2860,PT,"NOS COMUNICACOES, S.A.",57,24,1368
2119,NO,Telenor Norge AS,71,19,1349
24724,PL,Atman Sp. z o.o.,64,21,1344
63293,US,Meta (CDN Network),93,14,1302
8262,BG,Evolink EAD,93,14,1302
35819,SA,Etihad Etisalat (Mobily),59,22,1298
38731,VN,Viettel - CHT Company Ltd,81,16,1296
5391,HR,Hrvatski Telekom d.d.,56,23,1288
14259,CL,Gtd Internet S.A.,61,21,1281
45117,IN,Ishan Netsol Pvt Ltd,105,12,1260
197068,RU,High Load Lab (Qrator),52,24,1248
28761,RU,CrimeaCom South LLC,52,24,1248
9829,IN,BSNL (Bharat Sanchar Nigam Ltd),83,15,1245
35104,KZ,Jusan Mobile JSC,59,21,1239
29208,CZ,"Quantcom, a.s.",65,19,1235
47147,AT,Anexia Cloud Solutions GmbH,68,18,1224
34309,DE,Link11 GmbH,55,22,1210
58224,IR,Iran Telecommunication Company PJS,93,13,1209
31216,GB,BSO Network Solutions SAS,52,23,1196
17433,HK,Hytron Network Services Limited,67,17,1139
11014,AR,Metrotel,81,14,1134
3267,RU,National Research Computer Network of Russia,63,18,1134
3302,IT,Retelit Digital Services S.p.A.,56,20,1120
58511,AU,Swoop (Anycast Global Backbone),60,18,1080
45177,NZ,Devoli,56,19,1064
49581,DE,Ferdinand Zink trading as Tube-Hosting,132,8,1056
5578,SK,"SWAN, a.s.",52,20,1040
8866,BG,Vivacom Bulgaria EAD,172,6,1032
8412,AT,T-Mobile Austria GmbH,57,18,1026
138128,ID,PT Solnet Indonesia,112,9,1008
35625,FR,Eurofiber France SAS,72,14,1008
263702,CL,GRUPO ZGH SPA,63,16,1008
40676,US,Psychz Networks,83,12,996
17665,IN,ONEOTT INTERTAINMENT LIMITED,124,8,992
63927,HK,RISE,98,10,980
27552,US,"TowardEX Technologies International, Inc.",54,18,972
38794,TH,UIH,51,19,969
16086,FI,DNA Oyj,51,19,969
43754,IR,Asiatech Data Transmission company,121,8,968
45305,ID,PT Lintas Data Prima,74,13,962
4651,TH,The Communications Authority of Thailand (CAT),64,15,960
136557,AU,Host Universal Pty Ltd,87,11,957
15412,GB,Flag Telecom UK Limited,86,11,946
31287,BG,IPACCT CABLE Ltd,118,8,944
47232,CZ,ISP Alliance a.s.,72,13,936
9507,AU,NextHop Pty Ltd,58,16,928
8764,LT,"Telia Lietuva, AB",51,18,918
132280,TH,Symphony Communication (Thailand) PCL.,61,15,915
57866,NL,Fusix Networks B.V.,76,12,912
8903,ES,LYNTIA NETWORKS S.A.,75,12,900
6774,BE,BICS (Belgacom),56,16,896
134654,ID,PT Data Utama Dinamika,81,11,891
13194,LT,"UAB ""Bite Lietuva""",63,14,882
133296,IN,Web Werks India Pvt. Ltd.,71,12,852
9119,SI,SOFTNET d.o.o.,69,12,828
26042,US,"FiberState, LLC",59,14,826
4621,TH,UniNet Thailand,68,12,816
26677,CA,ORION,51,16,816
58682,BD,Level3 Carrier Ltd.,269,3,807
5483,HU,Magyar Telekom Plc.,67,12,804
139009,BD,Windstream Communication Limited,400,2,800
141137,ID,PT Media Cepat Indonesia,61,13,793
3399,SE,Obenet AB,66,12,792
20965,NL,GEANT Vereniging,74,10,740
30058,US,FDCservers.net,74,10,740
12541,ES,LYNTIA NETWORKS S.A.,60,12,720
135069,NZ,Feenix Communications Limited,55,13,715
35699,ES,Adamo Telecom Iberia S.A.,59,12,708
3170,GB,VeloxServ Communications Ltd,61,11,671
41313,BG,"""NOVATEL"" EOOD",55,12,660
29049,AZ,Delta Telecom Ltd,65,10,650
17439,IN,NTT Communications India Pvt. Ltd.,70,9,630
45430,TH,SBN-IIG/AWN-IIG transit provider,57,11,627
24516,AU,Virtutel Pty Ltd,51,12,612
3212,SI,Telemach Slovenija d.o.o.,61,10,610
3249,EE,Telia Eesti AS,52,11,572
8849,LT,Melbikomas UAB,63,9,567
8449,KG,"""ElCat"" Ltd.",58,9,522
55818,ID,Matrix Cable Internet Exchange,56,9,504
6206,NL,Netrouting B.V.,100,5,500
44066,DE,firstcolo GmbH,124,4,496
29169,FR,GANDI SAS,99,5,495
14618,US,"Amazon.com, Inc.",55,8,440
27951,CO,Media Commerce Partners S.A,51,8,408
55850,NZ,Mercury NZ Limited,51,8,408
396998,US,"Path Network, Inc.",51,8,408
12735,TR,TurkNet Iletisim Hizmetleri A.S.,78,5,390
131111,ID,PT Mora Telematika Indonesia Tbk,54,7,378
150178,BD,EXABYTE LTD,174,2,348
55824,IN,NKN Core Network,85,4,340
4750,TH,CS LOXINFO PUBLIC COMPANY LIMITED,55,6,330
49800,AM,GNC-Alfa CJSC,61,5,305
58212,DE,dataforest GmbH,70,4,280
4780,TW,Digital United Inc.,55,5,275
63023,US,GTHost,61,4,244
62610,US,Zenlayer Inc,61,4,244
12297,AM,Telecom Armenia OJSC,61,4,244
30823,DE,aurologic GmbH,71,3,213
24875,NL,NovoServe B.V.,51,4,204
42020,LB,OGERO,131,1,131
137491,BD,Peerex Networks Ltd,62,2,124
17494,BD,Bangladesh Telegraph & Telephone Board,90,1,90
132770,IN,Gazon Communications India Limited,64,1,64
139901,BD,Apple Communication Ltd.,59,1,59
52444,AR,Pogliotti & Pogliotti Construcciones S.A.,56,1,56
58715,BD,EARTH TELECOMMUNICATION (Pvt) LTD.,131,0,0
58656,BD,bdHUB Limited,57,0,0
